icao24,callsign,origin_country,longitude,latitude,baro_altitude,velocity,source,altitude_m,name,altitude_km,detections,geometry
80164f,AIC6KQ  ,India,77.0824,28.5631,,4.37,planes,0.0,,,,POINT (77.0824 28.5631)
801659,AIC162  ,India,77.0702,28.5479,,3.6,planes,0.0,,,,POINT (77.0702 28.5479)
8014f3,AIC1802 ,India,77.241,28.1875,2392.68,124.66,planes,2392.68,,,,POINT (77.241 28.1875)
80174b,IGO64J  ,India,76.2718,28.3198,4366.26,160.13,planes,4366.26,,,,POINT (76.2718 28.3198)
80175f,IGO6114 ,India,76.3137,27.4642,8755.38,234.43,planes,8755.38,,,,POINT (76.3137 27.4642)
801744,IGO227H ,India,77.0872,28.5603,,3.09,planes,0.0,,,,POINT (77.0872 28.5603)
801751,IGO2MJ  ,India,76.5853,28.0274,4876.8,146.73,planes,4876.8,,,,POINT (76.5853 28.0274)
801793,IGO721K ,India,76.9263,28.6036,1889.76,138.62,planes,1889.76,,,,POINT (76.9263 28.6036)
8015ad,IGO867W ,India,76.7917,28.5071,3657.6,146.11,planes,3657.6,,,,POINT (76.7917 28.5071)
801883,IGO1612 ,India,77.0847,28.5613,,0.0,planes,0.0,,,,POINT (77.0847 28.5613)
80182f,IGO262J ,India,76.8055,27.2664,8092.44,244.0,planes,8092.44,,,,POINT (76.8055 27.2664)
801819,IGO651  ,India,76.0012,28.1499,5676.9,192.39,planes,5676.9,,,,POINT (76.0012 28.1499)
80180b,IGO729M ,India,77.0951,28.5695,,5.92,planes,0.0,,,,POINT (77.0951 28.5695)
7500c8,XAX183  ,Malaysia,76.9825,28.3882,1569.72,141.75,planes,1569.72,,,,POINT (76.9825 28.3882)
49d26c,SEJ198  ,Czech Republic,77.1098,28.5685,,9.26,planes,0.0,,,,POINT (77.1098 28.5685)
801421,IGO89HL ,India,76.606,28.4667,3657.6,144.25,planes,3657.6,,,,POINT (76.606 28.4667)
801424,AIC1830 ,India,77.0694,28.5505,,6.69,planes,0.0,,,,POINT (77.0694 28.5505)
801435,AXB1229 ,India,77.0774,28.4549,2994.66,129.47,planes,2994.66,,,,POINT (77.0774 28.4549)
801495,AIC2976 ,India,76.0533,28.0066,6370.32,174.65,planes,6370.32,,,,POINT (76.0533 28.0066)
80149b,IGO705Y ,India,77.1538,27.3367,5402.58,169.97,planes,5402.58,,,,POINT (77.1538 27.3367)
801508,AKJ713Q ,India,77.1895,28.5683,586.74,73.08,planes,586.74,,,,POINT (77.1895 28.5683)
801590,AXB1042 ,India,77.5956,28.5505,1897.38,131.94,planes,1897.38,,,,POINT (77.5956 28.5505)
8013fc,IGO2473 ,India,77.698,27.0527,8877.3,200.9,planes,8877.3,,,,POINT (77.698 27.0527)
8013db,IGO5274 ,India,77.2431,28.5065,1066.8,81.23,planes,1066.8,,,,POINT (77.2431 28.5065)
4b1882,SWR146  ,Switzerland,77.3749,28.615,2057.4,122.96,planes,2057.4,,,,POINT (77.3749 28.615)
76cdb0,SIA355  ,Singapore,77.0185,28.25,11887.2,289.86,planes,11887.2,,,,POINT (77.0185 28.25)
800c43,AIC1847 ,India,77.0803,28.5637,,5.66,planes,0.0,,,,POINT (77.0803 28.5637)
800c0c,AIC1854 ,India,77.3056,28.4628,1181.1,93.95,planes,1181.1,,,,POINT (77.3056 28.4628)
800c71,IGO2231 ,India,77.7765,28.501,3390.9,130.84,planes,3390.9,,,,POINT (77.7765 28.501)
,,,,,,,satellites,,<!DOCTYPE html>,,,POINT (NaN NaN)
,,,,,,,satellites,,<!DOCTYPE html>,,,POINT (NaN NaN)
